"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Sprints!","Swim","Warm up with: 200 swim 100 kick 200 pull Really focus on your form during the warm-up because you MUST keep good form on these sprints. You will have slower times to start with, but they will begin to drop as good form becomes second nature. Main Set: 8x100 ALL OUT SPRINT! I want the recovery between these sets to be 2-3 minutes. I want your HR to come all the way back down, and the lactic acid to build up in your arms and legs. These need to be ALL OUT! As fast as humanly possible. That's the only reason you get such a long rest is because you need to be spent by the end of each 100. Also, these cannot get slower. I would prefer if they got faster. Record your times! 50s on one minute 15 seconds. I want you to do 10x50 sprints LEAVING on 1:15, so watch the clock! These are not necessarily all out, but still a sprint. 10x25 on 30 seconds. These ARE all out, and I want you leaving the wall at 30 seconds. Don't sandbag these because they're at the end of the workout. Cooldown: 200 easy swim","0.5","1188.71997070313","2022-06-01","","1000","","","","","0.409990847110748","0.762000024318695","","25","","142","167","","","0.683706833938687","20.76","8","13","2","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-06-01","","1390.88000488281","","","","","0.193599715828896","1.99600005149841","","58","","122","145","","","0.785789152498111","12.73","1","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Zone 4 Pyramid Run","Run","Warm up in zone 1-2 for 10 minutes then do: 2 minutes in zone 4 on 2 minutes easy recovery in-between 3 minutes in zone 4 on 2 minutes recovery in-between 4 minutes in zone 4 on 2 minutes recovery in-between 3 minutes zone 4 on 2 minutes recovery in-between 2 minutes in zone 4 on 2 minutes easy recovery in-between cool down for 10 minutes in zone 1-2","0.733333333333333","","2022-06-02","","6430.81005859375","","","","","0.849804759025574","2.10199999809265","","62","","149","182","","","0.872064074558965","71.32","8","21","4","4","5","5","0","","","","","","","","","","","","","","",""
"Muscular Endurance","Bike","Warm Up: -10 minutes Zone 1 -10 minutes Zone 2 Main Set: -2 x 10 minutes in Zone 3 with 5 minutes of recovery in Zone 1 after each interval Cool Down: -10 minutes Zone 1","1","","2022-06-03","Longer steady Muscular endurance sets working on strengthening your maximum sustained power","0","","","","","0.53584748506546","0","","","","127","164","","","0.625505275972028","22.86","15","2","2","0","0","0","0","","","","","","","","","","","","","","",""
"Zone 1 Run","Run","40 minutes in zone 1","0.666666666666667","","2022-06-04","Nice and easy run!","8711.5595703125","","","","","1.89078664779663","1.27999997138977","","72","","150","180","","","0.511999988555908","55.78","35","45","24","10","3","3","0","","","","","","","","","","","","","","",""
"Swim FTP Test","Swim","Warm Up: 200 Swim, 200 Kick, 200 Pull 1,000 yard Time Trail! Cool Down: 100 easy","0.818333333333333","1554.47998046875","2022-06-04","STANDARD TEST 1,000 yard/meter time trial In this test, you swim 1,000 meters as fast as you can without a break. Then take your average 100-meter time for the test and apply that as your Threshold Swim Pace. In TrainingPeaks you can either enter your average 100-meter time in seconds under Threshold Pace, or you can select “Distance/Duration,” select the distance of your test and enter your result; the app will then calculate your threshold for you.","1100","","","","","0.445988890859816","0.68407960199005","","23","","139","165","","","1.16470265311545","70.46","7","16","1","0","0","0","0","","","","","","","","","","","","","","",""
"Vo2 short recovery step up intervals","Bike","Warm Up: -15 minutes Zone 1 Main Set: -4 x 3 minute step up sprints done as :30 seconds in low Zone 4, 1 minute in high Zone 4, 1 minute in low Zone 5, :30 seconds in high Zone 5 around 120% of FTP with 5 minutes of recovery in between sets in Zone 1 -63 minutes Zone 2 Cool Down: -10 minutes Zone 1","2","","2022-06-05","These are high intensity step up intervals starting in low Zone 4 and going to upper Zone 5 at or around 120% of FTP.","0","","","","","2.02744245529175","0","","","","143","178","","","0.674202647712014","103.9","50","59","5","6","4","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-06-05","","2201.63989257813","","","","","0.355904698371887","1.71800005435944","","55","","117","130","","","0.681202694551541","17.83","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"25s Sprint workout","Swim","200 zone 1 easy warm up 8x100 Zone 4 50 kick 50 swim WITH fins, so these need to be HARD 3x(4x25 Zone 5) done as: #1: build DOWN (fat to slow) #2: build up (slow to fast) #3: easy #4: all out SPRINT 2x400 Zone 2 free build 100 Zone 1 easy cool down","1.11980133374532","2011.68005371094","2022-06-07","2200 yards. This workout requires fins to be done as written, but can be done without.","1350","","","","","0.511726390918096","0.729335494327391","","25","","140","164","","","1.24578292484828","98.94","14","15","2","0","0","0","0","","","","","","","","","","","","","","",""
"Zone 5 Repeats","Run","Warm up for 10 minutes in zone 1-2 then do: 8X1 minutes in zone 5 with 2 minutes easy recovery in-between cool down for 10 minutes in zone 1-2","0.733333333333333","","2022-06-07","These need to be FAST and all out!","4246.43017578125","","","","","0.744052827358246","1.58500003814697","","68","","142","175","","","0.634000015258789","32.89","15","17","5","3","0","0","0","","","","","","","","","","","","","","",""
