,TOTAL TSS
2023-11-03,
2023-11-04,
2023-11-05,
2023-11-06,
2023-11-07,
2023-11-08,
2023-11-09,19.036861237855213
2023-11-10,
2023-11-11,14.416842979140581
2023-11-12,51.00588504091757
2023-11-13,14.325323468649874
2023-11-14,12.18721403638476
2023-11-15,28.56892993899051
2023-11-16,
2023-11-17,23.744939398011613
2023-11-18,48.958235551861556
2023-11-19,
2023-11-20,
2023-11-21,12.292964223116597
2023-11-22,46.32247557631041
2023-11-23,6.173599891023103
2023-11-24,36.55278235020497
2023-11-25,
2023-11-26,15.832059362660269
2023-11-27,
2023-11-28,35.10498810934811
2023-11-29,16.430156381639488
2023-11-30,119.64741756532973
2023-12-01,
2023-12-02,10.668184525816525
2023-12-03,74.2661651604115
2023-12-04,4.382340952181019
2023-12-05,
2023-12-06,55.406980126566516
2023-12-07,
2023-12-08,
2023-12-09,
2023-12-10,
2023-12-11,
2023-12-12,
2023-12-13,
2023-12-14,
2023-12-15,27.088560889123265
2023-12-16,37.56650834003439
2023-12-17,40.09719863848342
2023-12-18,49.537993534706544
2023-12-19,
2023-12-20,47.99146279026745
2023-12-21,
2023-12-22,
2023-12-23,22.240947939383783
2023-12-24,51.85169148889683
2023-12-25,
2023-12-26,
2023-12-27,
2023-12-28,41.236359901615835
2023-12-29,
2023-12-30,
2023-12-31,
2024-01-01,
2024-01-02,
2024-01-03,52.78292083091233
2024-01-04,
2024-01-05,
2024-01-06,
2024-01-07,109.05660837444776
2024-01-08,55.69953993470995
2024-01-09,
2024-01-10,
2024-01-11,
2024-01-12,
2024-01-13,
2024-01-14,66.62245137461636
2024-01-15,
2024-01-16,60.35273214174454
2024-01-17,50.2750006589023
2024-01-18,
2024-01-19,
2024-01-20,
2024-01-21,53.76329690720512
2024-01-22,10.512158143410568
2024-01-23,162.49384969970913
2024-01-24,40.210843007426774
2024-01-25,48.66308699722328
2024-01-26,7.87175156809304
2024-01-27,
2024-01-28,
2024-01-29,
2024-01-30,
2024-01-31,98.46432244818249
2024-02-01,
2024-02-02,
2024-02-03,
2024-02-04,
2024-02-05,
2024-02-06,
2024-02-07,
2024-02-08,
2024-02-09,
2024-02-10,
2024-02-11,
2024-02-12,
2024-02-13,64.68812785013411
2024-02-14,57.705913362603
2024-02-15,
2024-02-16,87.85121140020328
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,78.96387501827189
2024-02-21,49.07657320711254
2024-02-22,
2024-02-23,109.13413126626432
2024-02-24,
2024-02-25,
2024-02-26,
2024-02-27,64.85384740892566
2024-02-28,121.78810078210316
2024-02-29,42.757330031115494
2024-03-01,31.539421818896496
2024-03-02,87.06768512419359
2024-03-03,46.12845879794394
2024-03-04,
2024-03-05,84.66901637126486
2024-03-06,49.34138181606903
2024-03-07,126.38363047204967
2024-03-08,
2024-03-09,
2024-03-10,
2024-03-11,
2024-03-12,33.63526385907625
2024-03-13,
2024-03-14,85.18077464996091
2024-03-15,54.84426411343564
2024-03-16,
2024-03-17,
2024-03-18,
2024-03-19,111.94770541228897
2024-03-20,19.27228845333105
2024-03-21,24.000368106235744
2024-03-22,37.597557232465554
2024-03-23,
2024-03-24,135.06840639240562
2024-03-25,
2024-03-26,41.08061835420689
2024-03-27,
2024-03-28,
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,
2024-04-02,78.23183927058014
2024-04-03,
2024-04-04,47.79173805712651
2024-04-05,
2024-04-06,178.90180390886155
2024-04-07,
2024-04-08,
2024-04-09,
2024-04-10,
2024-04-11,95.12684878690011
2024-04-12,28.29383111327377
2024-04-13,114.51208354845377
2024-04-14,
2024-04-15,
2024-04-16,47.412508698123204
2024-04-17,113.89564160813899
2024-04-18,
2024-04-19,22.664493797316663
2024-04-20,
2024-04-21,106.28377153292027
2024-04-22,
2024-04-23,45.49716741765178
2024-04-24,
2024-04-25,110.38537214131331
2024-04-26,
2024-04-27,
2024-04-28,255.23903929469594
2024-04-29,
2024-04-30,
2024-05-01,
2024-05-02,
2024-05-03,235.66662871103
2024-05-04,
2024-05-05,
2024-05-06,29.91076462020168
2024-05-07,
2024-05-08,
2024-05-09,
2024-05-10,29.544978293579344
2024-05-11,
2024-05-12,
2024-05-13,42.26639331518365
2024-05-14,32.71825223613586
2024-05-15,43.49242188263479
2024-05-16,
2024-05-17,
2024-05-18,
2024-05-19,277.76813561893084
2024-05-20,
2024-05-21,34.88905794413216
2024-05-22,
2024-05-23,25.031497814344327
2024-05-24,87.5366352319357
2024-05-25,
2024-05-26,158.93551317333967
2024-05-27,
2024-05-28,36.00157682560677
2024-05-29,
2024-05-30,33.557920537598406
2024-05-31,
2024-06-01,
2024-06-02,6.64971513477751
2024-06-03,232.47987216390175
2024-06-04,
2024-06-05,
2024-06-06,
2024-06-07,3.777699250916098
2024-06-08,
2024-06-09,32.45821935012934
2024-06-10,
2024-06-11,
2024-06-12,
2024-06-13,
2024-06-14,
2024-06-15,
2024-06-16,
2024-06-17,
2024-06-18,49.81898591798656
2024-06-19,
2024-06-20,
2024-06-21,
2024-06-22,
2024-06-23,246.88034491295622
2024-06-24,8.217048722805687
2024-06-25,26.172297876207658
2024-06-26,
2024-06-27,
2024-06-28,
2024-06-29,
2024-06-30,18.156907532501574
2024-07-01,
2024-07-02,
2024-07-03,75.98613055072342
2024-07-04,41.321862459219346
2024-07-05,11.027951789826975
2024-07-06,
2024-07-07,291.5744233168623
2024-07-08,
2024-07-09,
2024-07-10,52.57115349975973
2024-07-11,
2024-07-12,
2024-07-13,
2024-07-14,64.7918838817531
2024-07-15,
2024-07-16,
2024-07-17,
2024-07-18,
2024-07-19,
2024-07-20,212.37500168705387
2024-07-21,7.793808053767004
2024-07-22,
2024-07-23,
2024-07-24,
2024-07-25,
2024-07-26,
2024-07-27,
2024-07-28,
2024-07-29,236.51248962243707
2024-07-30,21.94074010406006
2024-07-31,
2024-08-01,
2024-08-02,
2024-08-03,43.54054206658988
2024-08-04,
2024-08-05,260.25219574263036
2024-08-06,
2024-08-07,
2024-08-08,53.49196833474949
2024-08-09,
2024-08-10,
2024-08-11,
2024-08-12,
2024-08-13,
2024-08-14,
2024-08-15,
2024-08-16,
2024-08-17,
2024-08-18,651.9432682342785
