Date,WorkoutType,Title,HeartRateAverage,TimeTotalInHours,DistanceInMeters,Calories
2023-06-11,Swim,Natación en piscina,139.0,1.1822222222222223,3450.0,732.0
2023-06-11,Run,Fontenay-sous-Bois - Zone 2 Run,142.0,1.2533333333333334,10870.0,840.0
2023-06-13,Swim,En piscine,132.0,0.8772222222222222,2425.0,501.0
2023-06-14,Swim,En piscine,119.0,0.4230555555555556,1325.0,227.0
2023-06-15,Run,Zone 4 Pyramid Run,135.0,0.16572222222222222,1350.0,108.0
2023-06-16,Bike,Saint-Mandé - Muscular Endurance,111.0,0.3605555555555556,8109.999999999999,157.0
2023-06-17,Swim,En piscine,137.0,0.5466666666666666,1600.0,354.0
2023-06-17,Run,Zone 1 Run,144.0,0.6677777777777778,5320.0,447.0
2023-06-18,Bike,Vincennes - Vo2 short recovery step up inter,142.0,1.4083333333333334,39400.0,831.0
2023-06-21,Bike,Paris - Easy Effort spin,108.0,0.7269444444444444,13110.0,260.0
2023-06-22,Swim,En piscine,116.0,0.8916666666666667,2275.0,529.0
2023-06-24,Swim,En piscine,115.0,0.72,2050.0,453.0
2023-06-24,Run,Fontenay-sous-Bois - Zone 2 Run,146.0,1.1030555555555555,9320.0,740.0
2023-06-25,Bike,Vincennes - Race Pace Intervals,140.0,3.25,81570.0,1673.0
2023-06-27,Run,Zone 3 Intervals,144.0,1.2666666666666666,10000.0,790.0
2023-06-28,Swim,En piscine,121.0,1.1861111111111111,3150.0,608.0
2023-06-30,Swim,En piscine,134.0,0.6675,1850.0,419.0
2023-06-30,Bike,Saint-Mandé - Endurance Step Ups,144.0,1.0816666666666668,29740.0,690.0
2023-07-01,Swim,En piscine,118.0,0.5827777777777777,1600.0,337.0
2023-07-01,Run,Zone 2b Long Run,114.0,0.035805555555555556,170.0,18.0
2023-07-02,Bike,Saint-Mandé - Race Pace Intervals,135.0,4.1738888888888885,106260.0,1799.0
2023-07-02,Run,Vincennes - Brick Run,143.0,0.7519444444444444,6570.0,508.0
2023-07-04,Swim,En piscine,114.0,1.3,3200.0,550.0
2023-07-05,Run,Zone 3 Intervals,145.0,0.7780555555555555,7580.0,527.0
2023-07-07,Bike,Muscular Endurance,92.0,0.5161111111111111,0.0,136.0
2023-07-08,Run,Vincennes - Zone 2b Long Run,123.0,0.8055555555555556,5730.0,411.0
2023-07-10,Bike,Saint-Mandé - Race Pace Intervals,126.0,4.950277777777778,121320.0,2010.0
2023-07-10,Run,Vincennes - Brick Run,133.0,0.9183333333333333,7360.0,558.0
2023-07-12,Bike,Bike Test,150.0,0.9277777777777778,0.0,692.0
2023-07-13,Swim,En piscine,134.0,0.4963888888888889,1350.0,335.0
2023-07-15,Run,Run Test,156.0,0.8363888888888888,8870.0,663.0
2023-07-18,Run,Barcelona - Zone 3 Intervals,141.0,1.1719444444444445,9770.0,753.0
2023-07-21,Swim,En piscine,121.0,0.6394444444444445,1475.0,305.0
2023-07-22,Swim,En piscine,128.0,0.9741666666666666,2400.0,510.0
2023-07-23,Bike,Paris - Race Pace Intervals,136.0,3.212222222222222,86390.0,1592.0
2023-07-25,Run,Vincennes - Zone 3 Intervals,143.0,1.1280555555555556,10240.0,795.0
2023-07-29,Swim,En piscine,126.0,1.4419444444444445,4000.0,707.0
2023-08-01,Swim,En piscine,135.0,1.678611111111111,4400.0,968.0
2023-08-02,Bike,Easy Effort spin,136.0,0.9791666666666666,0.0,519.0
2023-08-05,Swim,En piscine,123.0,1.061388888888889,2200.0,503.0
2023-08-08,Run,Saint-Mandé - Descending 400s,124.0,0.7461111111111111,5440.0,406.0
2023-08-11,Run,Vincennes - Zone 2 Run,141.0,1.0033333333333334,8250.0,652.0
2023-08-11,Swim,En piscine,140.0,0.3322222222222222,1025.0,233.0
2023-08-13,Bike,Vincennes - Race Pace Intervals,140.0,0.8216666666666667,23890.0,555.0
2023-08-13,Run,Vincennes - Brick Run Mile Repeats,145.0,0.6102777777777778,6060.0,460.0
2023-08-20,Swim,En piscine,140.0,1.2805555555555554,3400.0,791.0
2023-08-20,Bike,Copenhagen Cyclisme,150.0,6.309722222222222,177830.0,3183.0
2023-08-20,Run,Copenhagen Course à pied,133.0,3.154166666666667,22730.0,1722.0
2023-08-24,Run,Vincennes Course à pied,143.0,0.06108333333333334,580.0,46.0
2023-08-25,Swim,En piscine,125.0,0.5036111111111111,1250.0,270.0
2023-08-26,Bike,Vincennes Cyclisme,125.0,0.8783333333333333,17620.0,422.0
2023-08-26,Run,Vincennes Course à pied,149.0,0.5355555555555556,5440.0,415.0
2023-08-26,Bike,Paris Cyclisme,115.0,0.31305555555555553,5530.0,147.0
2023-08-27,Swim,En piscine,116.0,0.15483333333333332,550.0,78.0
2023-08-31,Swim,En piscine,119.0,0.6991666666666667,1950.0,422.0
2023-08-31,Run,Palermo Course à pied,144.0,2.248611111111111,16040.0,1396.0
2023-08-31,Run,Palermo Course à pied,149.0,0.7827777777777778,7040.0,528.0
2023-09-08,Run,Saint-Mandé Course à pied,134.0,0.6716666666666666,5680.0,414.0
2023-09-08,Bike,Vincennes Cyclisme,142.0,0.5747222222222222,14300.0,387.0
2023-09-11,Run,Course à pied sur tapis roulant,144.0,1.0058333333333334,8220.0,714.0
2023-09-13,Bike,Vélo d'intérieur,125.0,1.1341666666666668,0.0,553.0
2023-09-14,Run,Course à pied sur tapis roulant,134.0,0.14516666666666667,1000.0,98.0
2023-09-15,Swim,En piscine,121.0,1.1633333333333333,2825.0,536.0
2023-09-15,Run,Saint-Mandé Course à pied,144.0,1.0086111111111111,8690.0,670.0
2023-09-17,Run,Course à pied sur tapis roulant,147.0,1.0783333333333334,8470.0,767.0
2023-09-18,Bike,Vélo d'intérieur,134.0,2.0027777777777778,60000.0,1042.0
2023-09-20,Swim,En piscine,140.0,1.0966666666666667,2875.0,691.0
2023-09-21,Run,Course à pied sur tapis roulant,146.0,0.1547777777777778,1230.0,113.0
2023-09-22,Run,Course à pied sur tapis roulant,144.0,2.0008333333333335,16850.0,1263.0
2023-09-23,Swim,En piscine,106.0,0.07666666666666666,200.0,31.0
2023-09-23,Swim,En piscine,114.0,0.17,475.0,81.0
2023-09-23,Swim,En piscine,118.0,0.0751388888888889,200.0,39.0
2023-09-26,Bike,Vélo d'intérieur,157.0,0.3163888888888889,10600.0,255.0
2023-09-26,Run,Course à pied sur tapis roulant,143.0,0.22138888888888889,1640.0,164.0
